Instructions,Responses
As notas da segunda chamada têm o mesmo peso que a avaliação original?,"Sim, o exercício escolar e o exame final de segunda chamada terão o mesmo valor referente à nota e peso da avaliação perdida pelo aluno."
Os trabalhos práticos estão sujeitos à prova de segunda chamada?,"Não, os trabalhos práticos e os trabalhos de campo não estão sujeitos a avaliação de segunda chamada."
O que acontece se um aluno comparecer ao exame da segunda chamada?,"O comparecimento ao exame da segunda chamada não dá direito à solicitação de uma nova avaliação, mantendo-se a nota zero relativa a esse exercício ou exame final."
Quando a resolução sobre a segunda chamada entra em vigor?,"A resolução entra em vigor na data de sua publicação, revogando disposições em contrário."
Quem é responsável por regulamentar o processo de segunda chamada?,"O Vice-Reitor da Universidade Federal do Amazonas, em exercício da presidência do Conselho de Ensino, Pesquisa e Extensão, é responsável por regulamentar o processo."
Qual é o processo para um aluno solicitar a segunda chamada?,"O processo envolve a apresentação de um requerimento assinado pelo aluno ou seu representante legal, justificando a ausência e anexando a documentação comprobatória ao coordenador do curso."
O que deve ser feito se o professor não definir a nova data da avaliação após o deferimento?,"Se a nova data não for definida, o aluno deve entrar em contato com o coordenador do curso para que a situação seja resolvida."
Podem ser aceitas justificativas de ausência relacionadas a compromissos pessoais?,"Não, a simples prestação de serviço decorrente de vínculo de função pública ou privada não é considerada justo motivo para solicitar a segunda chamada."
Qual é a importância do atestado fornecido por um profissional da saúde?,"O atestado é importante porque comprova a condição de saúde do aluno, que é um dos justos motivos para a solicitação de segunda chamada."
As provas de segunda chamada têm um conteúdo diferente da avaliação original?,"O conteúdo da prova de segunda chamada ficará a critério do professor, podendo ser o mesmo ou diferente."
A resolução sobre a segunda chamada foi aprovada em qual data?,A resolução foi aprovada em 13 de novembro de 2009.
"Qual é a finalidade da Portaria nº 5, de 08 de janeiro de 2020?",A Portaria nº 5 estabelece o aproveitamento das atividades realizadas no Programa de Residência Pedagógica para o Estágio Obrigatório dos cursos de licenciatura da Universidade Federal do Amazonas (UFAM).
Quais cursos são afetados pela Portaria nº 5?,A Portaria nº 5 afeta os cursos de licenciatura da UFAM que participam do Programa de Residência Pedagógica.
Quantas horas são necessárias para o aproveitamento das atividades do Programa de Residência Pedagógica?,O discente deve ter integralizado uma carga horária de 440 horas para fazer jus ao aproveitamento das atividades realizadas no Programa de Residência Pedagógica.
Como o discente pode solicitar o aproveitamento das atividades?,"O discente deve solicitar o aproveitamento exclusivamente por meio do Portal E-campus, anexando a certificação de conclusão do Programa de Residência Pedagógica."
Qual é a data de entrada em vigor da Portaria?,"A Portaria entra em vigor na data de sua publicação, que ocorreu em 08 de janeiro de 2020."
Qual é o documento que regulamenta o aproveitamento das atividades?,"O documento que regulamenta o aproveitamento é a Portaria nº 5, de 08 de janeiro de 2020."
Quem assinou a Portaria nº 5?,"A Portaria foi assinada eletronicamente por Luiz Simão Botelho Neves, que era o Pró-Reitor em exercício na data."
Qual é a relação entre a Portaria nº 5 e o Edital nº 6 de 2018 da CAPES?,A Portaria estabelece que o aproveitamento das atividades do Programa de Residência Pedagógica está alinhado com o compromisso institucional assumido pela UFAM ao submeter sua proposta no Edital nº 6 de 2018 da CAPES.
O que é a BNC-Formação mencionada na Portaria?,"A BNC-Formação é a Base Nacional Comum para Formação Inicial de Professores para a Educação Básica, que institui diretrizes para a formação de professores."
Quais são os requisitos para o aluno solicitar o aproveitamento das atividades?,O aluno deve ter integralizado a carga horária exigida de 440 horas e deve anexar a certificação de conclusão do Programa de Residência Pedagógica ao solicitar o aproveitamento.
Em qual site pode ser conferida a autenticidade do documento da Portaria?,A autenticidade do documento pode ser conferida no site http://sei.ufam.edu.br/sei/controlador_externo.php.
Qual é o artigo que determina o aproveitamento das atividades do Programa de Residência Pedagógica?,O Artigo 1º da Portaria nº 5 determina que as atividades realizadas no Programa de Residência Pedagógica sejam aproveitadas para o Estágio Obrigatório dos cursos de licenciatura.
O que deve ser anexado no Portal E-campus para solicitar o aproveitamento?,O discente deve anexar a certificação de conclusão do Programa de Residência Pedagógica ao solicitar o aproveitamento no Portal E-campus.
Qual é a legislação que orienta a Portaria nº 5?,"A Portaria nº 5 está alinhada com as orientações da Resolução CNE/CP nº 2, de 20 de dezembro de 2019, que define as Diretrizes Curriculares Nacionais para a Formação Inicial de Professores."
Por que o aproveitamento das atividades é considerado um compromisso institucional?,"O aproveitamento das atividades é considerado um compromisso institucional porque foi parte da proposta submetida pela UFAM ao Edital nº 6 da CAPES, evidenciando o compromisso com a formação de professores."
O que acontece se um discente não completar as 440 horas exigidas?,"Se o discente não completar as 440 horas exigidas, ele não poderá solicitar o aproveitamento das atividades realizadas no Programa de Residência Pedagógica."
Qual é o principal objetivo do Programa de Residência Pedagógica?,"O principal objetivo do Programa de Residência Pedagógica é proporcionar uma formação prática e contextualizada para futuros professores, integrando teoria e prática."
A quem se destina a Portaria nº 5?,A Portaria nº 5 se destina aos discentes dos cursos de licenciatura da UFAM que participam do Programa de Residência Pedagógica.
O que deve ser feito após a conclusão do Programa de Residência Pedagógica?,"Após a conclusão do Programa de Residência Pedagógica, o discente deve solicitar o aproveitamento das atividades por meio do Portal E-campus, anexando a comprovação da conclusão."
O que é considerado afinidade entre cursos na UFAM?,"A afinidade entre o curso de origem e o de destinação é considerada quando ambos demonstram, em relação a outros, maior semelhança curricular, tanto na formação geral quanto na formação básica e profissional, devendo estar agrupados na mesma área de conhecimento: Exatas, Agrárias, Biológicas e Humanas."
Quem pode solicitar a afinidade de curso?,"Somente podem requerer afinidade de curso os alunos em processo de transferência ex officio, egressos de Instituições Públicas de Ensino Superior, desde que o curso de origem não esteja sendo oferecido, na época da transferência, em nenhuma Instituição de Ensino Superior Pública desta cidade."
Quais documentos são necessários para solicitar a afinidade de curso?,"Os documentos necessários para solicitar a afinidade de curso incluem a matriz curricular do curso de origem com as ementas das disciplinas, todas com carimbo vivo da Universidade de Origem, e o histórico escolar original atualizado."
Qual é o procedimento após a solicitação de afinidade de curso?,"Após a solicitação, o pedido é examinado primeiramente pelo Departamento de Legislação e Normas (DLN) para verificar o preenchimento dos requisitos da transferência ex officio."
O que acontece se os requisitos da transferência ex officio não forem atendidos?,"Se os requisitos da transferência ex officio não forem atendidos, a solicitação será encaminhada com parecer denegatório do DLN à consideração do(a) Pró-Reitor(a) de Ensino de Graduação."
"Se houver uma instituição pública em Manaus que ofereça o mesmo curso, o que ocorre?","Havendo instituição pública em Manaus que possua o mesmo curso de graduação do requerente, a solicitação receberá parecer denegatório do DLN, seguindo para consideração do(a) Pró-Reitor(a) de Ensino de Graduação, e o aluno será orientado a buscar matrícula na instituição que oferece seu curso."
O que acontece se os requisitos da transferência ex officio forem atendidos?,"Se os requisitos da transferência ex officio forem atendidos, o processo será encaminhado ao Departamento de Apoio ao Ensino (DAE) para emitir informação técnica sobre a afinidade do curso de origem com cursos da mesma área."
Como o aluno é orientado após o processo de afinidade?,"Após a conclusão do processo de afinidade, o aluno será encaminhado à Coordenação do Curso no qual deverá ser matriculado, a fim de que receba orientações acerca do seu ajustamento acadêmico ao curso no qual ingressará."
O aluno pode optar por outro curso que não o considerado afim?,Em nenhuma hipótese será permitido ao requerente fazer opção por outro curso que não aquele considerado afim com o curso de origem.
O que o Departamento de Legislação e Normas fará em relação à afinidade indicada?,"O Departamento de Legislação e Normas emitirá parecer nas hipóteses de concordância ou discordância do requerente em relação à afinidade indicada e encaminhará ao(a) Pró-Reitor(a) de Ensino de Graduação, que proferirá decisão sobre o pedido de afinidade e, consequentemente, sobre a solicitação de transferência ex officio."
Quem resolve os casos omissos na legislação de afinidade de cursos?,Os casos omissos serão resolvidos pela Câmara de Ensino de Graduação.
Qual é a data de vigência da Resolução que altera e consolida as normas sobre afinidade de cursos?,"A Resolução entra em vigor na data de sua publicação, que foi em 30 de novembro de 2011, revogadas as disposições em contrário."
O que é a transferência ex officio?,"A transferência ex officio é um processo pelo qual alunos são transferidos de um curso para outro, geralmente por motivos como a não oferta do curso de origem em outras instituições."
Qual é o papel da Pró-Reitoria de Ensino de Graduação nesse processo?,A Pró-Reitoria de Ensino de Graduação é responsável por considerar os pareceres recebidos e decidir sobre os pedidos de afinidade e transferência ex officio.
Quais áreas de conhecimento são consideradas para a afinidade de cursos?,"As áreas de conhecimento consideradas para a afinidade de cursos são: Exatas, Agrárias, Biológicas e Humanas."
Qual é a importância de agilizar o trâmite processual da transferência ex officio?,Agilizar o trâmite processual da transferência ex officio é importante para atender à crescente demanda de alunos que precisam mudar de curso devido à falta de oferta de sua formação original.
Qual foi a motivação para a alteração das normas sobre afinidade de cursos?,A motivação para a alteração das normas foi a necessidade de melhor disciplinar a avaliação de afinidade de cursos de graduação e sequenciais em resposta à demanda de alunos transferidos ex officio.
O que é a Câmara de Ensino de Graduação?,"A Câmara de Ensino de Graduação é um órgão do Conselho de Ensino, Pesquisa e Extensão (CONSEP) da UFAM, responsável por deliberar sobre questões relacionadas ao ensino de graduação."
Como a jurisprudência do Tribunal Regional Federal impacta a transferência ex officio?,"A jurisprudência do Tribunal Regional Federal firmou entendimento que permite o uso do processo de afinidade para casos excepcionais, como os de alunos que necessitam de transferência ex officio."
Qual é a validade dos diplomas de cursos superiores reconhecidos?,"Os diplomas de cursos superiores reconhecidos, quando registrados, têm validade nacional como prova da formação recebida pelo seu titular, conforme o artigo 48 da LDB."
O que é necessário para que um curso possa expedir diplomas?,"Para que um curso possa expedir e registrar diplomas, ele deve estar reconhecido. O diploma decorrente confere a formação recebida por seu titular."
Os diplomas podem mencionar a atuação específica na profissão?,"Não, se a universidade confere diplomas mencionando a atuação específica na profissão, isso é considerado equivocado. O órgão competente para atestar o exercício da profissão é o Conselho Profissional."
Qual é o exemplo dado em relação ao diploma de Odontologia?,"O exemplo dado é que o aluno deve receber o diploma de 'Bacharel em Odontologia', e o Conselho Profissional da área é quem deve conferir o título de 'cirurgião dentista'."
Os cursos de bacharelado e licenciatura podem ter suas modalidades retificadas?,"Não, uma portaria de reconhecimento que reconheceu um curso de bacharelado não deve ser retificada para retirar a modalidade de formação."
Qual é a decisão sobre as retificações solicitadas nas portarias?,"As retificações solicitadas nas portarias não procedem, conforme o entendimento exposto na legislação."
O que foi observado em relação aos cursos da área da saúde?,"Em relação a alguns cursos da área da saúde, deve-se observar o anexo da Resolução CNE/CES nº 4/2009."
O que aconteceu com o curso de Química Industrial?,"Para o curso de Química Industrial, a portaria foi retificada, pois a modalidade do curso é bacharelado e não licenciatura."
Quando foi publicada a retificação do curso de Química Industrial?,A retificação do curso de Química Industrial foi publicada no Diário Oficial da União no dia 12 de novembro de 2007.
Quais cursos estão listados como bacharelado?,"Os cursos listados como bacharelado são: Odontologia, Medicina Veterinária, Arquivologia, Fisioterapia, Agronomia e Zootecnia."
Quem é o autor do ofício que menciona as correções das portarias?,"O ofício que menciona as correções das portarias é assinado por Maria Neusa Reira, Coordenadora Geral de Ação da Educação Superior."
Qual é o erro cultural mencionado em relação às universidades públicas?,"O erro cultural mencionado é que algumas universidades públicas continuam expedindo e registrando diplomas de forma equivocada, mesmo após a edição da atual LDB."
O que a LDB diz sobre a validade dos diplomas?,A LDB afirma que os diplomas de cursos superiores reconhecidos têm validade nacional como prova da formação recebida.
Qual é a função do Conselho Profissional em relação aos diplomas?,O Conselho Profissional é o órgão competente para atestar o exercício da profissão e conferir títulos específicos aos formados.
Os cursos de bacharelado precisam de retificação em suas portarias?,"Não, os cursos de bacharelado não necessitam de retificação nas portarias, pois já estão corretamente reconhecidos."
Quais foram os números das portarias mencionadas no ofício?,"As portarias mencionadas são: 955 de 27/04, 755 de 07/11/08, e 250 de 16/06/2006."
Qual é a implicação de um curso não estar reconhecido?,"Se um curso não está reconhecido, ele não pode expedir diplomas válidos, pois não atesta a formação recebida pelo estudante."
O que deve ser feito se um diploma contém erro na menção de profissão?,"Se um diploma contém erro na menção de profissão, o correto é que o problema seja corrigido pelo Conselho Profissional, e não pela universidade."
O que é a Resolução CNE/CES n° 2/2007?,"A Resolução CNE/CES n° 2/2007 estabelece diretrizes para a formação em determinados cursos, incluindo a necessidade de reconhecimento adequado."
O que é estágio de acordo com a legislação acadêmica da UFAM?,"O estágio é definido como um ato educativo escolar supervisionado, que ocorre no ambiente de trabalho e visa à preparação para o trabalho produtivo de educandos que estão frequentando o ensino regular em instituições de educação superior, educação profissional, ensino médio, educação especial e nos anos finais do ensino fundamental."
Quais são os tipos de estágio reconhecidos pela Lei nº 11.788?,"A Lei nº 11.788 reconhece dois tipos de estágio: o estágio obrigatório, que é aquele definido no projeto do curso e cuja carga horária é requisito para a aprovação e obtenção do diploma, e o estágio não-obrigatório, que é desenvolvido como atividade opcional, adicional à carga horária regular."
O que caracteriza a relação de estágio de acordo com a UFAM?,"O estágio não cria vínculo empregatício, desde que sejam observados requisitos como matrícula e frequência regular do educando, celebração de termo de compromisso entre o estagiário, a parte concedente e a instituição de ensino, e a compatibilidade entre as atividades do estágio e as previstas no termo de compromisso."
Quem pode oferecer estágio de acordo com a legislação?,"Podem oferecer estágio as pessoas jurídicas de direito privado, órgãos da administração pública, autarquias, fundações de qualquer dos Poderes da União, dos Estados, do Distrito Federal e dos Municípios, bem como profissionais liberais de nível superior registrados em seus respectivos conselhos."
Qual é a carga horária máxima permitida para estagiários?,"A carga horária máxima permitida varia conforme o nível de educação: até 4 horas diárias e 20 horas semanais para estudantes de educação especial e anos finais do ensino fundamental; até 6 horas diárias e 30 horas semanais para estudantes de ensino superior, educação profissional de nível médio e ensino médio regular. Em cursos que alternam teoria e prática, a carga horária pode ser de até 40 horas semanais, conforme o projeto pedagógico."
O que deve ser incluído no termo de compromisso de estágio?,"O termo de compromisso deve incluir informações sobre o estagiário, a parte concedente, a instituição de ensino, as atividades a serem desenvolvidas, a carga horária, o supervisor do estágio, e deve ser assinado por todas as partes envolvidas."
Qual é a duração máxima do estágio na mesma parte concedente?,"A duração do estágio na mesma parte concedente não pode exceder 2 anos, exceto quando se tratar de estagiário portador de deficiência."
O que deve acontecer se o termo de compromisso não for cumprido?,O descumprimento do termo de compromisso pode levar à caracterização de vínculo de emprego do educando com a parte concedente para todos os fins da legislação trabalhista e previdenciária.
Quais são as obrigações das instituições de ensino em relação aos estágios?,"As instituições de ensino devem celebrar o termo de compromisso, avaliar as instalações da parte concedente, indicar um professor orientador, exigir relatórios periódicos do estagiário, zelar pelo cumprimento do termo, elaborar normas complementares e comunicar as datas das avaliações escolares à parte concedente."
Como é garantido o seguro do estagiário?,"O seguro contra acidentes pessoais deve ser contratado pela parte concedente, exceto nos casos de estágio obrigatório, onde a responsabilidade pode ser da instituição de ensino."
Qual a relação entre estágio e a formação acadêmica?,"O estágio é considerado parte integrante do projeto pedagógico do curso e visa ao aprendizado de competências profissionais, além de contextualizar a formação acadêmica do aluno."
Qual é o prazo de validade dos convênios de estágio estabelecidos pela UFAM?,"Os convênios de estágio têm validade de até 5 anos, podendo ser prorrogados pelo mesmo período mediante a celebração de um termo aditivo."
Quais são os direitos dos estagiários de acordo com a legislação?,"Os estagiários têm direito a seguro contra acidentes pessoais, recesso remunerado de 30 dias quando o estágio tiver duração igual ou superior a um ano, e a não coincidência do horário do estágio com as atividades acadêmicas."
Como funciona a supervisão do estágio?,"A supervisão do estágio é feita por um professor orientador da instituição de ensino e um supervisor da parte concedente, garantindo acompanhamento efetivo das atividades do estagiário."
O que acontece se um estagiário não comparecer ao estágio?,O estagiário pode ser desligado do estágio se não comparecer sem justificativa por mais de 5 dias consecutivos ou 30 dias durante todo o período do estágio.
Quais documentos são necessários para o credenciamento de entidades concedentes de estágio?,"As entidades devem apresentar a ficha cadastral, carta de intenção, documentos de identificação do representante legal, estatuto ou contrato social, e comprovante de inscrição e situação cadastral."
Qual é o papel dos agentes de integração no processo de estágio?,"Os agentes de integração auxiliam na identificação de oportunidades de estágio, ajuste das condições de realização, acompanhamento administrativo, e negociação de seguros contra acidentes pessoais."
O que deve conter o plano de estágio apresentado pelo estagiário?,"O plano de estágio deve descrever as atividades que serão desenvolvidas durante o estágio, bem como os objetivos de aprendizado e a relação com a formação do estudante."
Quais são as condições para a realização de estágio em instituições de ensino?,"As instituições de ensino devem garantir que o estágio seja supervisionado, que as atividades desenvolvidas sejam compatíveis com o projeto pedagógico do curso e que os estagiários tenham acesso a condições adequadas de aprendizado."
Qual é o objetivo da Resolução 018/2012 da UFAM?,"O objetivo da Resolução 018/2012 é regulamentar a operacionalização da oferta de disciplinas a cada semestre na Universidade Federal do Amazonas, visando aprimorar o processo de oferta e a matrícula em disciplinas."
Quem é responsável pela oferta de disciplinas na UFAM?,O coordenador de curso e o chefe de departamento/coordenador acadêmico são os responsáveis diretos pela oferta das disciplinas.
Qual sistema é utilizado para a oferta de disciplinas na UFAM?,A oferta de disciplinas é feita através do Sistema Integrado de Ensino (SIE).
O que deve ser feito quando há demanda reprimida por disciplinas?,"Quando há demanda reprimida, o coordenador de curso pode sugerir a oferta de disciplinas extras, indicando dias, horários e o nome do professor para ministrá-las."
Como é o processo de liberação de disciplinas para matrícula?,"Após a análise e concordância dos pedidos de oferta pelo chefe de departamento/coordenador acadêmico, ele faz a alocação do professor e do espaço físico, liberando a disciplina para matrícula via SIE."
O que acontece se não houver concordância entre o coordenador de curso e o chefe de departamento?,"Se não houver concordância, as partes devem manter diálogo via SIE até que haja consenso. Se não houver consenso dentro do prazo, a PROEG pode propor horários e dias que possibilitem ao aluno cursar a disciplina."
É obrigatório indicar o nome do professor responsável pela disciplina?,"Sim, é obrigatória a indicação do nome do professor responsável por cada disciplina/turma ofertada."
O que deve ser feito se não houver professor disponível para uma disciplina?,"Se não houver professor disponível, o chefe de departamento/coordenador acadêmico deve sinalizar no SIE a mensagem 'PROFESSOR A CONTRATAR'."
Qual prioridade deve ser dada na alocação de professores?,"Na alocação de professores, deve-se dar prioridade às disciplinas oferecidas para o primeiro período de todos os cursos da UFAM, preferencialmente as destinadas aos calouros."
É possível alocar mais de um professor para uma disciplina?,"Sim, o chefe de departamento/coordenador acadêmico pode alocar mais de um professor para ministrar a disciplina, desde que observe a ementa e a carga horária."
Como deve ser definido o coordenador de uma disciplina com mais de um professor?,"Dentre os docentes envolvidos na disciplina, deve ser definido apenas um para ser o coordenador."
Como é considerado finalizado o processo de oferta de disciplina?,O processo de oferta de disciplina/turma é considerado finalizado quando a disciplina/turma está com a situação de 'matrícula' no SIE.
O que o aluno deve fazer para visualizar a oferta da disciplina?,"O aluno poderá visualizar a oferta da disciplina/turma no Portal do Aluno, uma vez que a situação de matrícula estiver registrada no SIE."
Quem é responsável pela atualização do ambiente físico das aulas?,"O chefe de departamento/coordenador acadêmico é responsável pelas providências para atualização junto à Prefeitura do Campus, do ambiente físico onde ocorrerão as aulas."
Quando esta resolução entra em vigor?,"A Resolução 018/2012 entra em vigor na data de sua publicação, revogando as disposições em contrário."
Qual é a importância da atualização das normas internas?,"A atualização das normas internas é importante para adequar o processo de oferta de disciplinas ao novo Sistema Integrado de Ensino, visto que as normas anteriores estavam baseadas em um regimento antigo."
Como a PROEG atua na oferta de disciplinas?,"A PROEG é responsável pelo acompanhamento e supervisão da oferta de disciplinas, podendo intervir se não houver consenso na alocação de horários e dias."
O que deve ser considerado na sugestão de dias e horários para as disciplinas?,"O coordenador de curso deve sugerir dias e horários para a realização das disciplinas, considerando a demanda dos alunos e as condições de oferta."
Qual é o papel do chefe de departamento/coordenador acadêmico na análise de ofertas?,O chefe de departamento/coordenador acadêmico analisa os pedidos de oferta feitos pelo coordenador de curso e deve concordar com os dias e horários sugeridos antes de liberar a disciplina para matrícula.
Qual é o objetivo da Portaria nº 48 da UFAM?,"O objetivo da Portaria nº 48 é estabelecer procedimentos e critérios para apurar denúncias de supostas fraudes no uso de cotas destinadas a pretos, pardos e indígenas, com base na legislação vigente."
Quais leis fundamentam a criação da Portaria nº 48?,"A criação da Portaria nº 48 é fundamentada pela Lei nº 12.711/2012, que trata do ingresso nas Universidades Federais, e pela Portaria MPOG nº 4/2018, que regula o procedimento de heteroidentificação."
O que é heteroidentificação?,"Heteroidentificação é o procedimento de identificação da condição étnico-racial de um indivíduo por terceiros, a fim de validar a autodeclaração feita pelo candidato em relação a sua raça ou etnia."
Como o Pró-Reitor de Ensino de Graduação deve proceder ao receber uma denúncia?,"Ao receber uma denúncia, o Pró-Reitor deve solicitar informações do Departamento de Registro Acadêmico sobre a matrícula do discente denunciado e, se confirmado que é um discente matriculado em vaga reservada, submeter o caso ao procedimento de heteroidentificação."
Quem realiza o procedimento de heteroidentificação?,"O procedimento de heteroidentificação é realizado pela Comissão Regular de Verificação de Autodeclaração Étnico-Racial, composta por, no mínimo, três membros que possuem conhecimento sobre relações étnico-raciais."
Quais são os critérios considerados para a homologação da autodeclaração étnico-racial?,"Para a homologação da autodeclaração étnico-racial, considera-se exclusivamente o fenótipo do discente no momento da apresentação à Comissão, que inclui características como a cor da pele, textura do cabelo e aspectos faciais."
O que acontece se o discente faltar ao procedimento de heteroidentificação?,"Se o discente faltar ao procedimento de heteroidentificação e não justificar a ausência em até um dia, sua matrícula institucional será cancelada."
Como a convocação para o procedimento de heteroidentificação é feita?,"A convocação pode ser realizada por telefone, e-mail ou correio, utilizando as informações do cadastro de matrícula do discente."
Qual é o prazo para interpor recurso caso a autodeclaração não seja homologada?,O discente tem um prazo de 5 (cinco) dias úteis para interpor recurso a partir da data de publicação do parecer conclusivo da Comissão.
O que é considerado como base para a homologação do termo de autodeclaração indígena?,"Para a homologação do termo de autodeclaração indígena, considera-se o Registro Administrativo de Nascimento de Indígena (RANI) emitido pela FUNAI e o fenótipo indígena do discente no momento da apresentação."
O que deve ser feito se a autodeclaração étnico-racial for homologada?,"Se a autodeclaração for homologada, o processo administrativo é arquivado e o discente é informado do parecer, podendo usar o termo homologado para ingressar em outros cursos de graduação na UFAM."
O que ocorre se a autodeclaração não for homologada?,"Se a autodeclaração não for homologada, o registro acadêmico do discente será cancelado e todas as disciplinas cursadas até então serão anuladas."
O discente pode se matricular novamente em vagas reservadas após a não homologação da autodeclaração?,"Não, o discente cujo termo de autodeclaração não for homologado está vedado de se matricular novamente em vagas reservadas para pretos, pardos e indígenas."
Quem deve compor a Comissão Recursal de Verificação de Autodeclaração Étnico-Racial?,"A Comissão Recursal deve ser composta por membros distintos da Comissão Regular, indicados por Portaria do Pró-Reitor de Ensino de Graduação e que tenham participado de atividades relacionadas a relações étnico-raciais."
Como deve ser documentado o procedimento de heteroidentificação?,O procedimento de heteroidentificação deve ser filmado e essa gravação utilizada na análise de eventuais recursos interpostos pelo discente.
Qual é a consequência de não apresentar a justificativa para a ausência ao procedimento de heteroidentificação?,"Caso o discente não apresente justificativa para a ausência, sua matrícula será cancelada, independentemente da razão da falta."
O que a Comissão Recursal deve considerar ao decidir sobre um recurso?,"A Comissão Recursal deve considerar o conteúdo do recurso do discente, a filmagem do procedimento de heteroidentificação, o parecer da Comissão Regular e o procedimento realizado pela própria Comissão Recursal."
Qual é a data de publicação do parecer conclusivo da Comissão Regular?,"A data de publicação do parecer conclusivo será informada no mesmo dia do procedimento de heteroidentificação, em termo de ciência assinado pelo discente."
O que acontece se o discente não comparecer ao procedimento de heteroidentificação após ser convocado?,"Se o discente não comparecer e não justificar a falta, sua autodeclaração não será homologada, resultando no cancelamento de sua matrícula."
O que diz o Decreto-Lei nº 1.044 de 21 de outubro de 1969 sobre o tratamento de alunos com afecções?,"O Decreto-Lei nº 1.044 estabelece um tratamento excepcional para alunos portadores de afecções congênitas ou adquiridas, infecções, traumatismos ou outras condições que causem distúrbios agudos ou agudizados, assegurando o direito à educação aos que não podem frequentar as aulas regularmente devido à sua condição de saúde."
Quais condições de saúde podem justificar o tratamento excepcional para alunos?,"As condições que justificam tratamento excepcional incluem incapacidade física relativa que impeça a frequência às aulas, ocorrências isoladas ou esporádicas, e a duração da condição não deve ultrapassar o máximo admissível para a continuidade do aprendizado, como em casos de síndromes hemorrágicas, asma, e afecções reumáticas."
Como é assegurada a continuidade do aprendizado para alunos com afecções?,"Para assegurar a continuidade do aprendizado, o Decreto prevê a realização de exercícios domiciliares com acompanhamento da escola, adequados ao estado de saúde do aluno e às possibilidades da instituição de ensino."
Qual é o papel do laudo médico no processo de tratamento excepcional para alunos?,"O regime de exceção estabelecido pelo Decreto depende de um laudo médico elaborado por uma autoridade oficial do sistema educacional, que ateste a condição do aluno e a necessidade de tratamento especial."
Quem é responsável por autorizar o regime de exceção nas escolas?,"A autorização para o regime de exceção é da competência do Diretor do estabelecimento de ensino, que deve solicitar a aprovação à sua autoridade superior imediata."
Quais tipos de afecções são mencionadas como passíveis de tratamento excepcional?,"O Decreto menciona afecções como síndromes hemorrágicas (ex.: hemofilia), asma, pericardites, e afecções osteoarticulares que necessitam de correções ortopédicas, entre outras condições que afetam a capacidade de frequentar as aulas."
O Decreto-Lei nº 1.044 é aplicável a todos os níveis de ensino?,"Sim, o Decreto é aplicável a alunos de qualquer nível de ensino, garantindo o tratamento excepcional para aqueles que se encontram em situações especificadas."
Qual é a data de publicação do Decreto-Lei nº 1.044?,O Decreto-Lei nº 1.044 foi publicado em 21 de outubro de 1969.
Quais são as considerações que fundamentam o Decreto-Lei nº 1.044?,"As considerações incluem o direito à educação garantido pela Constituição, a necessidade de adaptação das condições de ensino para alunos com problemas de saúde, e a possibilidade de regimes excepcionais que permitam a continuidade do aprendizado."
O que acontece com as disposições anteriores ao Decreto-Lei nº 1.044?,"O Decreto revoga disposições anteriores em contrário, estabelecendo novas diretrizes para o tratamento de alunos com afecções."
Como o Decreto-Lei nº 1.044 define incapacidade física relativa?,"A incapacidade física relativa é definida como aquela que é incompatível com a frequência regular aos trabalhos escolares, desde que o aluno mantenha as condições intelectuais e emocionais necessárias para o aprendizado."
Quais são as implicações para a frequência escolar de alunos com condições de saúde?,"Alunos com condições de saúde que justifiquem a ausência às aulas podem receber acompanhamento e realizar atividades escolares em casa, evitando a interrupção total do aprendizado."
Qual a importância do acompanhamento da escola nas atividades domiciliares?,"O acompanhamento da escola é crucial para garantir que as atividades domiciliares estejam alinhadas ao currículo escolar e que o aluno receba o suporte necessário para seu desenvolvimento acadêmico, mesmo fora do ambiente escolar."
O que se entende por 'educação peculiar dos excepcionais' conforme mencionado no Decreto?,A 'educação peculiar dos excepcionais' refere-se a métodos e abordagens educacionais adaptados às necessidades específicas de alunos com deficiências ou condições de saúde que dificultam a aprendizagem convencional.
Há limite para a duração das condições que justificam o tratamento excepcional?,"Sim, a duração da condição não deve ultrapassar o máximo admissível para que o aluno possa continuar seu processo pedagógico, conforme avaliado em cada caso."
Quais autoridades estão envolvidas na elaboração do laudo médico necessário para o tratamento excepcional?,"O laudo médico deve ser elaborado por uma autoridade oficial do sistema educacional, que pode incluir médicos da escola ou especialistas reconhecidos."
O que o Decreto estabelece em relação ao bem-estar emocional dos alunos?,"O Decreto enfatiza que, para o tratamento excepcional ser aplicado, deve-se verificar a conservação das condições emocionais do aluno, garantindo que ele possa prosseguir com suas atividades escolares sob novas condições."
Qual é a relação entre o Decreto-Lei e as leis subsequentes citadas?,"O Decreto-Lei nº 1.044 é complementado por leis subsequentes que tratam da educação e dos direitos dos alunos, como as Leis nº 6.202, 6.503 e 7.692, que reforçam o direito à educação e as adaptações necessárias para os alunos com afecções."
Quais são as diretrizes que os cursos de graduação da UFAM devem obedecer?,"Os cursos de graduação da UFAM devem obedecer às diretrizes dos respectivos Projetos Pedagógicos, às pré-disposições da Resolução N° 023/2017 e à legislação pertinente."
Como é atribuído o crédito teórico e prático nos cursos de graduação da UFAM?,"Um crédito teórico corresponde a 15 horas-aula, enquanto um crédito prático corresponde a 30 horas-aula. A hora-aula é considerada como 60 minutos."
Qual é a duração do período letivo na UFAM?,"O período letivo na UFAM corresponde a 100 dias de trabalho escolar efetivo, excluindo o tempo reservado para as avaliações finais."
